# This is the template file for creating symbols with tragesym
# every line starting with '#' is a comment line.

[options]
# wordswap swaps labels if the pin is on the right side an looks like this:
#   "PB1 (CLK)". That's useful for micro controller port labels
# rotate_labels rotates the pintext of top and bottom pins
#   this is useful for large symbols like FPGAs with more than 100 pins
# sort_labels will sort the pins by it's labels
#   useful for address ports, busses, ...
wordswap=no
rotate_labels=no
sort_labels=no
generate_pinseq=yes
sym_width=4500
pinwidthvertical=600
pinwidthhorizontal=600

[geda_attr]
# name will be printed in the top of the symbol
# name is only some graphical text, not an attribute
# version specifies a gschem version.
# if you have a device with slots, you'll have to use slot= and slotdef=
# use comment= if there are special information you want to add
version=20060113 1
name=MSP430F5308IPT
device=MSP430F5308IPT
refdes=U?
footprint=LQFP48_7
description=
documentation=
author=
dist-license=
use-license=
numslots=0
#slot=1
#slotdef=1:
#slotdef=2:
#slotdef=3:
#slotdef=4:
#comment=
#comment=
#comment=

[pins]
# tabseparated list of pin descriptions
# ----------------------------------------
# pinnr is the physical number of the pin
# seq is the pinseq= attribute, leave it blank if it doesn't matter
# type can be (in, out, io, oc, oe, pas, tp, tri, clk, pwr)
# style can be (line,dot,clk,dotclk,none). none if only want to add a net
# posit. can be (l,r,t,b) or empty for nets
# net specifies the name of the net. Vcc or GND for example.
# label represents the pinlabel.
#	negation lines can be added with "\_" example: \_enable\_ 
#	if you want to write a "\" use "\\" as escape sequence
#-----------------------------------------------------
#pinnr	seq	type	style	posit.	net	label	
#-----------------------------------------------------
14		io	line	r		P1.0
15		io	line	r		P1.1
16		io	line	r		P1.2
17		io	line	r		P1.3
18		io	line	r		P1.4
19		io	line	r		P1.5
20		io	line	r		P1.6
21		io	line	r		P1.7
22		io	line	r		P2.0
29		io	line	r		P4.0
30		io	line	r		P4.1
31		io	line	r		P4.2
32		io	line	r		P4.3
33		io	line	r		P4.4
34		io	line	r		P4.5
35		io	line	r		P4.6
36		io	line	r		P4.7
5		io	line	r		P5.0
6		io	line	r		P5.1
45		io	line	r		P5.2
46		io	line	r		P5.3
8		io	line	r		P5.4
9		io	line	r		P5.5
1		io	line	r		P6.0
2		io	line	r		P6.1
3		io	line	r		P6.2
4		io	line	r		P6.3
23		io	line	r		PJ.0
24		io	line	r		PJ.1
25		io	line	r		PJ.2
26		io	line	r		PJ.3
38		io	line	r		PU.0
40		io	line	r		PU.1
48		io	line	l		RST/SBWTDIO
47		io	line	l		TEST/SBWTCK
43		io	line	l		NC
39		io	line	l		NC
41		io	line	l		LDOI
42		io	line	l		LDOO
7		pwr	line	t		AVCC1
11		pwr	line	t		DVCC1
28		pwr	line	t		DVCC2
13		pwr	line	t		VCORE
10		pwr	line	b		AVSS1
44		pwr	line	b		AVSS2
12		pwr	line	b		DVSS1
27		pwr	line	b		DVSS2
37		pwr	line	b		VSSU
